ID,UICNumber,APINumber,PermittedIntervalTopFt,PermittedIntervalBottomFt,PermittedMaxLiquidBPD,StartDate,SurfaceHoleLatitude,SurfaceHoleLongitude,CompletedWellDepthClassification,WellName,Distances,DXs,DYs,DDRatio,YearsInjecting,EncompassingDay,EncompassingDiffusivity,EventID,TotalBBL,Selection,MMBBL,YearsInjectingToEarthquake
9914,12242,13506726,5000.0,5700.0,15000,5/26/1978,31.8342916,-102.2908289,Deep,"PARKS, ROY -B- TG 24W",57.33049419178857,45.81277973776559,34.467171053481565,0.9246338572296557,46.171115674195754,-17484.0,0.1795093898784926,texnet2024oqfb,87666.0,May Include,0.087666,-46.171115674195754
16337,12240,32901986,13000.0,13500.0,15000,5/25/1972,31.85647564,-102.2759979,Deep,"PARKS, ROY -B- TG 20W",54.736297299584386,44.40826526534269,31.999643983922805,0.8304699968018391,52.172484599589325,-14017.0,0.14480897543333135,texnet2024oqfb,520493.0,May Include,0.520493,-52.172484599589325
18459,10722,31700024,4450.0,4800.0,20000,10/31/1980,32.48501157,-102.0367206,Deep,O'NEAL 1D,43.714413596535735,21.76259024408073,-37.91230268878763,0.7243836290801512,43.73716632443532,-12338.0,0.11017545191879777,texnet2024oqfb,376331.0,May Include,0.376331,-43.73716632443532
18761,10717,31731601,10910.0,12424.0,10000,4/29/1977,32.48874382,-102.0951786,Deep,"BREEDLOVE, F. D., -B- 24D",47.03133166673872,27.2572634538822,-38.327440233859456,0.7498624611455302,47.24435318275154,-12377.0,0.11806218400484508,texnet2024oqfb,27832550.0,May Include,27.83255,-47.24435318275154
23248,20111,32930266,4100.0,4510.0,5000,5/4/1976,32.036302,-101.851645,Deep,GREENWOOD SWD 1D,12.770615778169578,4.375674009867192,11.997587950836994,0.20152205870539977,48.2299794661191,-3030.0,0.008526931405675406,texnet2024oqfb,0.0,0bbl Disposal,0.0,-48.2299794661191
24545,17033,22703675,9892.0,9922.0,2000,5/24/1967,32.45654135,-101.4762974,Deep,SOUTHEAST LUTHER/FUSSELMAN/ UNIT 1001W,46.51378220844354,-30.923823603114563,-34.74556486617812,0.6741231105151372,57.177275838466805,-8537.0,0.09541705739576448,texnet2024oqfb,186581.0,Must Include,0.186581,-57.177275838466805
2060,20046,17300368,3608.0,3893.0,1250,6/15/1967,31.75052362,-101.6982438,Deep,MEADORS 1D,44.933539065912136,-10.095866407031279,43.784669498861945,0.6515639667755152,57.1170431211499,-7925.0,0.0891377575569664,texnet2024oqfb,0.0,0bbl Disposal,0.0,-57.1170431211499
3584,15177,13502347,5200.0,5530.0,6000,6/5/1963,31.97755353,-102.3902348,Deep,BARROW WIW 2,58.1780283806266,55.14749594678673,18.53217047143107,0.8153608776564112,61.14442162902122,-12445.0,0.13958775609364354,texnet2024oqfb,445463.0,May Include,0.445463,-61.14442162902122
22336,15760,301016,12611.0,13837.0,25000,10/8/1964,32.40023594,-102.2880379,Deep,HUTEX S W D SYSTEM G12,53.6020699411422,45.408412239890744,-28.482723501953625,0.7596258983275035,59.800136892539356,-10692.0,0.12115660993492156,texnet2024oqfb,11707759.0,May Include,11.707759,-59.800136892539356
37627,58016,31732123,4200.0,5500.0,3300,4/3/1985,32.28231646,-102.0293229,Deep,MAYS 2D,26.095003337157024,21.090721261258413,-15.366559407032442,0.45608368821844886,39.31553730321698,-8558.0,0.04367537746383265,texnet2024oqfb,0.0,0bbl Disposal,0.0,-39.31553730321698
38761,46212,31731528,4350.0,12130.0,9000,2/2/1982,32.35650004,-101.97162,Deep,TOM 2,28.334729003146705,15.654015147272627,-23.61798663880708,0.47642394521542336,42.48049281314169,-7936.0,0.04765788327775612,texnet2024oqfb,908034.0,Must Include,0.908034,-42.48049281314169
13991,20183,31730078,3900.0,5000.0,5000,5/22/1977,32.30359092,-101.8630691,Deep,LENORAH 1D,18.549822810371346,5.444238026527644,-17.73291404488246,0.2959536665531288,47.181382614647504,-4207.0,0.018390563502135106,texnet2024oqfb,171506.56499999855,Must Include,0.17150656499999856,-47.181382614647504
24760,39662,13506652,5032.0,5376.0,5000,9/24/1957,31.90743726,-102.3140584,Deep,HEADLEE DEVONIAN UNIT 63,54.734746365150805,47.985080333052544,26.33119149021251,0.7336973283128858,66.839151266256,-8659.0,0.11302680785733515,texnet2024oqfb,0.0,0bbl Disposal,0.0,-66.839151266256
30001,45228,22731166,3749.0,5641.0,5000,11/17/1981,32.4436102,-101.6332347,Deep,ALLRED SWD 1,37.024876774439946,-16.170061574450635,-33.307235208211004,0.6210022669905282,42.691307323750856,-10351.0,0.08097183065969668,texnet2024oqfb,380511.0,Must Include,0.380511,-42.691307323750856
35072,50386,31730538,4000.0,5500.0,6000,12/7/1983,32.133011,-102.041506,Deep,GLASS -E- 1D,22.290041012509484,22.255486728785254,1.2406620090354814,0.3831902295703662,40.63791923340178,-7267.0,0.030830207035135154,texnet2024oqfb,398412.95000000007,Must Include,0.39841295000000004,-40.63791923340178
5294,19968,31700114,3800.0,12154.0,6000,5/14/1970,32.24150227,-101.9119152,Deep,SALE RANCH -D- 1D,14.768226190221483,10.043947236825556,-10.826803859931474,0.21982752924814897,54.20396988364134,-1089.0,0.010146394507745814,texnet2024oqfb,799917.529,Must Include,0.799917529,-54.20396988364134
50969,74786,31732928,6509.0,6539.0,4000,5/23/1991,32.23327044,-101.8292987,Deep,"SUPERIOR STRAIN -SWD-"" 1D",10.167233043657419,2.2674137659431794,-9.911178781856991,0.19343443472345584,33.18001368925393,-8265.0,0.007856247635831513,texnet2024oqfb,16527.999999957952,Must Include,0.01652799999995795,-33.18001368925393
35832,64225,31731170,4400.0,5800.0,5000,10/9/1987,32.13768057,-102.0874244,Deep,GLASS -J- 2D,26.589430322349372,26.57964599324282,0.7212665166817717,0.48034983447997237,36.799452429842574,-9591.0,0.04844655250850847,texnet2024oqfb,437253.75,Must Include,0.43725375,-36.799452429842574
48150,68130,22734107,3430.0,6059.0,12500,2/14/1989,32.43469844,-101.5992047,Deep,SON OF BIG BAD 1,37.67683417761898,-19.37067195824047,-32.315981629628354,0.6935124037360823,35.44695414099932,-13210.0,0.1009848100717715,texnet2024oqfb,311418.0,May Include,0.311418,-35.44695414099932
